"name","url","notes","email","phone","contact","type_community","civic_taxonomy","district","neighborhood","categories","ownership","ethnicity","size_organization","address","zipcode","source"
"My Green Lake","http://www.mygreenlake.com/","Provide community news and information","tips@mygreenlake.com; amy@mygreenlake.com","206-718-5801","Amy Duncan","Media","Neighborhood","Northwest","Green Lake","Information","Media",,,,98113,"DOIT"
"My Wallingford","http://www.mywallingford.com/","Provide community news and information","tips@mywallingford.com",,"Marina Gordon","Media","Neighborhood","Lake Union","Wallingford","Information","Media",,,,98103,"DOIT"
"MyBallard","http://www.myballard.com/","Provide community news and information","tips@myballard.com",,"Cory & Kate Bergman","Media","Neighborhood","Ballard",,"Information","Media",,2,"1752 NW Market St. #547",98107,"DOIT"
"NAACP - Seattle","http://seattlekingcountynaacp.com/","Ensure the political, educational, social, and economic equality of all persons and eliminate racial hatred and discrimination","skbr1136@aol.com","206-324-6600",,"RSJ","Social justice","Citywide",,"Advocacy","Nonprofit","African American",13,"105 14th Ave Suite C, 1st Floor",98122,"DPR"
"National Parks & Conservation Association","http://www.npca.org/northwest/","Ensure the protection and effectiveness of the area's national parks",,"206-903-0447",,"Environment","Parks","Citywide",,"Advocacy","Nonprofit",,"National","313 First Ave S",98104,"DPR"
"Native PTAC, United Indians of All Tribes","http://www.nativeptac.org","Help individual and tribally owned Native firms to become more successful in contracting with federal, state and local governments","dbrewington@unitedindians.org","425-283-2512","Daucey Brewington","Business","RSJ","Citywide",,"Service provider","Nonprofit","Native American",6,"6520 South 190th Street - 2nd Floor, Kent, WA",98032,"DFAS"
"Nature Conservancy","http://www.nature.org/wherewework/northamerica/states/washington/","Preserve and protect plants, animals, and natural communities","washington@tnc.org","206-343-4344",,"Environment","Resources","Citywide",,"Advocacy","Nonprofit",,"National","1917 First Ave",98101,"DPR"
"Nature Consortium","http://www.naturec.org/","Connect people, arts and nature","info@naturec.org","206-923-0853",,"Arts","Environment; Social Action","Delridge",,"Volunteerism","Nonprofit",,8,"4408 Delridge Way SW",98106,"DPR"
"Neighborhood Farmers' Market Alliance","http://www.seattlefarmersmarkets.org/","Support and advocate for small farms and farmers; coordinate farmers' markets","nfma@seattlefarmersmarkets.org","206-632-52",,"Environment","Health","Citywide",,"Service provider","Community group",,8,"4519 1/2 University Way NE Suite 202",98105,"DPR"
"Neighborhood House","http://www.nhwa.org/","Help underpriveleged people attain self-sufficiency, financial independence, health, and community building","nathanb@nhwa.org","206-461-8430","Nathan Buck","Social justice","Education; Employment; Health; Immigration; Seniors; Substance abuse","Citywide","Greenbridge, High Point, NewHolly, Rainier Vista, Yesler Terrace","Service provider","Nonprofit","People of color",,"905 Spruce St Suite 200",98104,"DPR"
"Neighbornets","http://www.neighbornets.org/","Helps neighbors connect and share resources, friendships, and  interests","habib@connectexpress.com",,,"Media","Neighborhood","Citywide",,"Information","Media",,,,,"DPR"
"NepalSeattle Society","http://www.nepalseattle.org/index.php","Promote and preserve Nepali culture, traditions and heritage and strengthen mutual cooperation and friendship ","info@nepalseattle.org",,,"RSJ","Community","Citywide",,"Service provider","Nonprofit","Nepali",0,"PO Box 45633",98145,"DPR"
"Newcomers & New Friends of Seattle","http://membermanager.net/seattlenewcomers/","Provides a social forum for women new to the Seattle area looking to find friends with common interests","admin@seattlenewcomers.com",,,"Social justice","Women","Citywide",,"Service provider","Community group",,0,,,"DPR"
"NewHolly Family Center","http://www.atlanticstreet.org/programs/folder.2007-01-25.3793394326/newholly-family-center","Foster the success of disadvantaged youth, adults and families with development programs and support","nhfcinfo@atlanticstreet.org","206-723-4073","Jim Yearby","Youth & family","Education; Immigration","Greater Duwamish","NewHolly","Service provider","Nonprofit","People of color",13,"7050 32nd Ave S",98118,"DON"
"NewHolly Neighborhood Group",,"Provide support and discussion of issues in NewHolly","bridgette.maryman@gmail.com",,"Bridgette Maryman","Community council","Neighborhood","Greater Duwamish","NewHolly ","Advocacy","Community group",,0,,98118,"DON"
"Nikkei Manor - Nikkei Concerns","http://www.nikkeiconcerns.org/nikkeimanor.html","Provide quality care for elderly Japanese residents","lwaisath@nikkeiconcerns.org","206-726-6460","Lisa Waisath","Social justice","Seniors","Central",,"Service provider","Nonprofit","Japanese",,"700 6th Ave. S.",98104,"DON"
"Nonprofit Assistance Center","http://nacseattle.org/","Empower communities by building strong nonprofits and community leaders and to achieve social justice and equity","KGaston@NACseattle.org","206-324-5850","Kissy Gaston","Social justice","Social action","Citywide",,"Service provider","Nonprofit",,8,"1618 South Lane St  Suite 201",98144,"DPR"
"Nordic Heritage Museum","http://nordicmuseum.org/","Shares Nordic culture by exhibiting art and objects, preserving collections, providing educational and cultural experiences, and serving as a community gathering place","ericn@nordicmuseum.org","206-789-5707","Eric Nelson","Social justice","History","Ballard",,"Education","Nonprofit","Nordic",20,"3014 NW 67th St",98117,"DON"
"North Beacon Hill Council","http://www.cityofseattle.net/commnty/Beacon/groups/nbhc/","Address community issues through neighborhood empowerment","nbhc@northbeacon.net; judew@comcast.net","206-329-8801","Judith Edwards","Community council","Neighborhood","Greater Duwamish","Beacon Hill","Advocacy","Community group",,0,"c/o Beacon Hill Neighborhood Service Center 2821 Beacon Ave S",98144,"DON"
"North Capitol Hill Neighborhood Association","http://www.nchna.com/","Provide a public forum on neighborhood issues, identify and assess neighborhood needs, and inform and advise residents ","addocter@comcast.net",,"David Doctor","Community council","Neighborhood","East","Capitol Hill","Advocacy","Community group",,0,,98112,"DPR"
"North Central Little League","http://www.northcentrallittleleague.org/","Help kids 5-18 through baseball league","ncll.baseball@comcast.net",,,"Youth & family","Health","Northwest",,"Service provider","Community group",,0,"4509 Interlake Ave N #163",98103,"DPR"
"North Delridge Neighborhood Council","http://ndnc.org/","Provide community discussion for issues in North Delridge",,,,"Community council","Neighborhood","Delridge","North Delridge","Advocacy","Community group",,0,,98106,"DPR"
"North Delridge Tri-Council",,"Address community issues","chigiwigi@hotmail.com","206-767-0330","Mike Dady","Community council","Neighborhood","Delridge","North Delridge","Advocacy","Community group",,0,,98106,"DON"
"North District Council","http://www.cityofseattle.net/neighborhoodcouncil/members.htm","Advise the city on budget issues and provide a forum for community discussion","philip.shack@gmail.com","206-306-9084","Phillip Shack","Community council","District","North",,"Advocacy","Community group",,0,"12509 42nd Ave NE",98125,"DON"
"North Helpline Emergency Services and Food Bank","http://www.northhelpline.org/index.html","Provides the community with basic human emergency services and food bank to promote dignity, self respect and hope","ed@northhelpline.org","206-367-3477",,"Social justice","Emergency; Health","North","Lake City","Service provider","Nonprofit",,7,"12736 33rd Ave NE",98125,"DPR"
"North Seattle Family Center - Children's Home Society","http://www.chs-wa.org/NSFC.html","Provides services and support to parents, children, and families ","pr@chs-wa.org","206-364-7930",,"Youth & family","Education; Health","North","Lake City","Service provider","Nonprofit",,"Regional","3200 NE 125th S, Suite 2",98125,"DPR"
"North Seattle Industrial Association",,"Preserve and protect North Seattle’s unique and diverse industrial heritage and resources","eugene@ecwassociates.com","206-440-2660","Eugene Wasserman","Social justice","History","Citywide","North Seattle","Advocacy","Community group",,0,"PO Box 70328",98155,"DON"
"Northeast District Council ","http://www.cityofseattle.net/neighborhoodcouncil/members.htm","Advise the city on budget issues and provide a forum for community discussion","lynnferguson65@comcast.net","206-523-0391 ","Lynn Ferguson","Community council","District","Northeast",,"Advocacy","Community group",,0,,98105,"DPR"
"Northeast District Council ","http://www.cityofseattle.net/neighborhoodcouncil/members.htm","Advise the city on budget issues and provide a forum for community discussion","nancybolin@windermere.com","206-233-3732","Nancy Bolin","Community council","District","Northeast",,"Advocacy","Community group",,0,"4241 NE 75th St",98115,"DON"
"Northeast Neighborhood Service Center","http://www.seattle.gov/neighborhoods/nsc/university.htm","Provides information, referrals, and city services","Karen.Ko@seattle.gov","206-684-7542","Karen Ko","Social justice","Education","Northeast","University","Service provider","Community group",,,"4534 University Way NE ",98105,"DPR"
"Northeast Seattle Life","http://www.neseattlelife.com/","Provide community news and information",,,,"Media","Neighborhood","Northeast",,"Information","Media",,,,98125,"Online"
"Northgate Activist","http://northgateactivist.net/","Ensure the development of Northgate into a livable, pedestrian-friendly urban center and neighborhood","bhirschm@hotmail.com",,,"Media","Social justice","North","Northgate","Information","Media",,0,,98125,"DPR"
"Northgate Chamber of Commerce","http://www.northgatechamber.com/","Strengthen business and community through information and partnership","info@northgatechamber.com","206-733-0115","Tatyana Sineeva","Business","Neighborhood","North","Northgate","Advocacy","Community group",,0,"9594 First Ave NE #296",98115,"DON"
"Northgate Stakeholders Group","http://www.seattle.gov/dpd/Planning/Northgate_Revitalization/Stakeholders_Group/default.asp","Advise the city in the revitalization of the Northgate neighborhood","mark.troxel@seattle.gov",,"Mark Troxel","Community council","Neighborhood","North","Northgate","Advocacy","Community group",,0,,98155,"DPR"
"Northwest African American Museum","http://naamnw.org/","Create a vibrant community gathering place to showcase the history and culture of African Americans in the Seattle area","llehman@naamnw.org; info@naamnw.org","206-518-6000","Leilani Lehman","RSJ","Education","Southeast",,"Education","Nonprofit","African American",10,"2300 S Massachusetts St",98144,"DON"
"Northwest Dance Network","http://www.nwdance.net/index.php","Build community through promoting the art and joy of social partner dance","info@nwdance.net","206-781-1238",,"Arts","Support","Ballard",,"Service provider","Nonprofit",,7,"2442 NW Market St",98107,"DPR"
"Northwest District Council ","http://www.cityofseattle.net/neighborhoodcouncil/members.htm","Advise the city on budget issues and provide a forum for community discussion","sldeters@qwest.net","206-437-4940","Steve Deters","Community council","District","Northwest",,"Advocacy","Community group",,0,,98103,"DPR"
"Northwest District Council ","http://www.cityofseattle.net/neighborhoodcouncil/members.htm","Advise the city on budget issues and provide a forum for community discussion","irene.wall@tetratech.com","206-784-8731","Irene Wall","Community council","District","Northwest",,"Advocacy","Community group",,0,"207 N 60th St",98103,"DON"
"Northwest Education Loan Association: Centers for Student Success","http://www.nela.net/Centers/Pages/CenterHome.aspx","Provide information and assistance through college admissions, financial aid and scholarship search resources particularly for underserved youth","washingtoncenter@nela.net","206-461-5366",,"Youth & family","Education; Social justice","Citywide",,"Service provider","Nonprofit","People of color",2,"309 23rd Ave. S",98144,"DON"
"Northwest Energy Coalition","http://www.nwenergy.org/","Promote renewable energy and conservation of resources","nwec@nwenergy.org","206-621-0094",,"Environment","Resources","Citywide",,"Advocacy","Nonprofit",,12,"811 1st Ave, Suite 305",98104,"DPR"
"Northwest Immigrant Rights Project","http://www.nwirp.org/","Promotes justice for low-income immigrants by pursuing and defending their legal status",,"206-587-4009",,"RSJ","Social action","Citywide",,"Advocacy","Nonprofit",,25,"615 2nd Ave Suite 400",98104,"DPR"
"Northwest Little League","http://www.nwlittleleague.org/","Provide baseball league for youth 5-18","nwll@hotmail.com","206-706-3310",,"Youth & family","Health","Northwest",,"Service provider","Community group",,0,,98117,"DPR"
"Northwest Minority Supplier Development Council","http://msdc.adaptone.com/nwmsdc","Identify and develop educational and business opportunities for minority business enterprises, corporations, and public agencies","fmartinez@northwestmsdc.org",,"Fernando Martinez","Business","RSJ","Citywide",,"Service provider","Nonprofit","People of color",4,"320 Andover Park East, Suite 205, Tukwila, WA ",98188,"DFAS"
"Northwest Puppet Center","http://www.nwpuppet.org/education.html","Coordinate puppet performances for Seattle youth","info@nwpuppet.org","206-523-2579",,"Youth & family","Arts","North","Maple Leaf","Service provider","Nonprofit",,,"9123 15th Ave. NE",98115,"DON"
"Northwest Somali Community Center",,"Coordinates direct services such as homelessness prevention, resettlement counseling, and referrals for Somali immigrants and refugees","nwscc1@yahoo.com; nwscc@hotmail.com","206-324-2111","Abdihakim Hassan ","RSJ","Immigration; Homelessness","Central",,"Service provider","Community group","Somali",,"2314 East Union Street, Suite 202",98122,"DPR"
"Norwegian Commercial Club","http://www.norwegiancommercialclub.com/","Promote and encourage civic and commercial activity in the Norwegian and Seattle community","judycooper15@att.net ",,"Judy Nilsen Cooper","Business","RSJ","Ballard",,"Advocacy","Community group","Norwegian",0,"2245 NW 57th St",98103,"DPR"
"NW Federation of Community Organizations","http://nwfco.org/","Execute regional and national campaigns and build strong state affiliate organizations and partnerships that address economic, racial, and social inequities","info@nwfco.org","206-568-5400",,"Social justice","Social action","Citywide",,"Advocacy","Nonprofit",,17,"3518 S. Edmunds St.",98118,"DPR"
"Ocean View Community Beach Club","http://www.facebook.com/pages/Ocean-View-Community-Beach-Club/134053301575","Provide place for neighborhood community and recreation","benn9398@comcast.net",,"Phil Bennett","Community council","Neighborhood","Southwest",,"Service provider","Community group",,,"11405 37th Ave SW",98136,"DON"
"Ocheami","http://www.home.earthlink.net/~ocheami/index.htm","Explore the rich culture of Africa through song, dance, drumming, and storytelling","ocheami@earthlink.net","206-329-8876",,"Arts","RSJ","Citywide",,"Service provider","Nonprofit","African",3,"PO Box 31635",98103,"DPR"
"Older Women's League","http://www.scn.org/hoot/","Researches and addresses issues affecting women as they age","hoot@scn.org","206-781-6679",,"Social justice","Seniors; Women","Citywide",,"Advocacy","Nonprofit",,,"117 East Louisa Street # 176",98102,"DPR"
"Olmsted-Fairview Park Commission","http://eastlake.oo.net/fairolmjoin.html","Obtain and support parks in the Eastlake area and citywide","rrudine@aol.com","206-322-5463","Robert Rudine","Environment","Parks","Lake Union","Eastlake","Service provider","Community group",,0,"85 E Roanoke St",98102,"DPR"
"Olympic Manor Community Club","http://www.olympicmanor.org/","Provide community services and support to Olympic Manor residents","president@olympicmanor.org; jmenday@sellingseattle.com","206-782-4208","Jeff Menday","Community council","Neighborhood","Ballard","Olympic Manor","Service provider","Community group",,0,"2400 NW 80th Street, #230",98177,"DON"
"OneAmerica","http://weareoneamerica.org/","Advance the fundamental principles of democracy and justice through building power in immigrant communities","info@weareoneamerica.org","206-723-2203",,"RSJ","Social action","Citywide",,"Advocacy","Nonprofit",,17,"1225 S. Weller St Suite 200 ",98114,"DPR"
"OneWorld Now! Global Leadership/Education","http://www.oneworldnow.org/home.html","Provides 2-year after school global leadership program to Seattle students","info@oneworld-now.org","206-223-7703",,"Youth & family","Social action","Citywide",,"Service provider","Nonprofit","People of color",10,"600 First Avenue, Suite 620",98104,"DON"
"Operation Night Watch Task Force ","http://www.seattlenightwatch.org/index.htm","Help the poor and homeless achieve self-reliance through services and support","ann@seattlenightwatch.org","206-323-4359","Ann Sakaguchi","Social justice","Homelessness","Citywide",,"Service provider","Nonprofit",,3,"1265 S Main Street, Suite 216",98144,"DPR"
"Oromo Community Center","http://www.oromocommunitywa.org/index.php?page=Home","Empower the Oromo community, especially youth, to be socially successful while preserving values, culture and language",,"206-324-7039",,"RSJ","Education","Central","Leschi","Service provider","Nonprofit","African","10 (unpaid)","2718 S Jackson St",98122,"DPR"
"Othello Neighborhood ","http://othelloneighborhood.org/default.aspx","Provide community news and information","info@othelloneighborhood.org",,,"Media","Neighborhood","Southeast","Othello","Information","Media",,,,98118,"DOIT"
"Othello Neighborhood Association","http://othelloneighborhood.org/ona.aspx","Monitor the implementation of the MLK @ Holly Street Neighborhood plan and provide community support","jewalden@gmail.com; info@othelloneighborhood.org","206-898-6313","Jenna Walden","Community council","Neighborhood","Southeast","Rainier Valley","Advocacy","Community group",,0,,98118,"DPR"
"Our Lady of Mt. Carmel Center","http://www.seattlemtcarmel.org/","Provide direct social services to Seattle community","ourladyofmtcarmel@gmail.com","206-325-0871 ","Leo Werlech ","Social justice","Emergency; Homelessness; Employment; Education","Central",,"Service provider","Nonprofit",,0,"508 Broadway",98122,"DON"
"Pacific Asian Empowerment Program","http://www.paep-seattle.org/","Improve the quality of life of Pacific Asian residents of King County through empowered community groups","paep@w-link.net",,,"RSJ","Social action","Citywide",,"Service provider","Nonprofit","Asian Pacific Islander",3,"270 S Hanford St Suite 204",98134,"DPR"
"Pacific Northwest Ballet Education and Community Programs","http://www.pnb.org/","Provide dance education and performances for Seattle youth","kayti@pnb.org","206-441-2432","Kayti Bouljon","Youth & family","Arts","Citywide",,"Service provider","Nonprofit",,4,"301 Mercer Street",98109,"DON"
"Para los Ninos","http://www.paralosninoswa.org/","Foster academic success for every Latino student through parent and community involvement","info@plnwa.org","206-241-7900","Sharonne Navas","RSJ","Education","North","Highline","Education","Nonprofit","Latino",,"15410 Ambaum Blvd. SW",98166,"DON"
"Parks and Open Space Advocates",,"Support smart open space and parks policy","seatleposa@yahoogroups.com",,"John Barber?","Environment","Built environment","Citywide",,"Advocacy","Community group",,0,,,"DPR"
"Pasefika","http://www.weareoneamerica.org/resources/pasefika","Provides services to Pacific Islanders concerning family support, youth gang prevention, and cultural programming","danandmabel@comcast.net","206-763-0764","Pastor Mabel Magalei","Youth & family","RSJ","Delridge","White Center","Service provider","Community group","Asian Pacific Islander",,"10237 16th Ave SW",98146,"DON"
"Passages Northwest","http://passagesnw.org/","Help girls develop through exploration of art, science, and the environment","info@passagesnw.org","206-286-8601",,"Youth & family","Women; Environment, Health","Citywide",,"Service provider","Nonprofit",,11,"139 23rd Ave S ",98144,"DPR"
"Pat Graney Company: Arts Education Program","http://www.patgraney.org/education.html","Support incarcerated women and girls through arts-based education","staff@patgraney.org","206-329-3705",,"Arts","Social justice; Women","Citywide",,"Service provider","Nonprofit",,,"925 E. Thomas Suite B",98102,"DON"
"Peace for the Streets by Kids from the Streets","http://www.psks.org/","Provides services for homeless youth and young adults","e_simons@psks.org","206-726-8500 ","Elaine Simons","Youth & family","Homelessness","East","Capitol Hill","Service provider","Community group",,5,"1814 Summit Ave ",98122,"DPR"
"People for Puget Sound","http://pugetsound.org/","Protect and restore the Puget Sound through education and action","people@pugetsound.org","206-382-7007",,"Environment","Resources","Citywide",,"Service provider","Nonprofit",,35,"911 Western Ave Suite 580",98104,"DPR"
"People of Color Against AIDS Network (POCAAN)","http://www.pocaan.org/home.html","Advocate and ensure equitable access to HIV/AIDS education, prevention and health care resources for people of color","pocaan@pocaan.org","206-322-7061","Phyllis Little","RSJ","Health","Central",,"Advocacy","Nonprofit","People of color","Regional","1609 19th Ave",98122,"DON"
"PFLAG (Parents, Families, and Friends of Lesbians, Gays, Bisexuals and Transgenders)","http://www.seattle-pflag.org/","Promotes the health and well-being of LGBT people and their families and friends through support, education, and advocacy","seapflag@drizzle.com","206-325-7724",,"Social justice","LGBT","East","Capitol Hill","Advocacy","Nonprofit",,0,"1122 E Pike St PMB 620",98122,"DPR"
"Phinney Neighborhood Association","http://www.phinneycenter.org/","Build community by providing and promoting programs, services and activities aimed at connecting neighbors and fostering civic involvement","leeh@phinneycenter.org","206-783-2244","Lee Harper","Community council","Neighborhood","Northwest","Phinney ","Service provider","Community group",,10,"6532 Phinney Ave N",98103,"DPR"
"Phinney Ridge Community Council",,"Find solutions to community problems","dduthweiler@comcast.net","206-782-1420","Diane Duthweiler","Community council","Neighborhood","Northwest","Phinney ","Advocacy","Community group",,0,,98103,"DPR"
"Phinneywood","http://www.phinneywood.com/","Provide community news and information","tips@phinneywood.com",,"Dale Steinke and Doree Armstrong","Media","Neighborhood","Northwest","Phinney","Information","Media",,,,98113,"DOIT"
"Pigeon Point Community Council","http://www.pigeonpoint.org/pp_council.html","Address community issues","pigeonpointcouncil@comcast.net; bayouwonder@comcast.net","206-579-4373","Pete Spalding","Community council","Neighborhood","Delridge","Pigeon Point","Advocacy","Community group",,0,"4107 20th Ave SW",98106,"DON"
"Pigeon Point Neighborhood Council","http://pigeonpoint.org/Home.html","Address concerns of Pigeon Point residents","raeannbetzen@yahoo.com","206-550-2690","Raeanne Patton ","Community council","Neighborhood","Delridge","Pigeon Point","Advocacy","Community group",,0,,98106,"DPR"
"Pike Pine Urban Neighborhood Council",,"Promote community in the Pike/Pine area","bhunter@chhip.org",,"Betsy Hunter","Community council","Neighborhood","East","Capitol Hill","Advocacy","Community group",,0,"1406 10th Ave Ste 101",98122,"DON"
"Pike Place Market Historical Commission","http://pikeplacemarket.org/market_organizations/historical_commission","Preserve the physical and social character of Pike Place Market","info@pikeplacemarket.org","206-682-7453",,"Social justice","History","Downtown","Pike Place","Service provider","Community group",,0,"85 Pike St Room 500",98101,"DPR"
"Pike Place Market Merchants Association","http://www.pikeplacemarket.org/market_organizations/merchants_association","Protects business interests of Pike Place merchants","pama@seattlespublicmarket.com","206-587-0351","Gary Goedecke","Business","Neighborhood","Downtown","Pike Place","Advocacy","Community group",,0,"93 Pike St #312",98101,"DON"
"Pike Place Market Preservation and Development Authority","http://www.pikeplacemarket.org/market_organizations/pda_council_committees","Sets policy for the governance of Pike Place Market","pdacouncil@pikeplacemarket.org; daniel@pikeplacemarket.org","206-682-7453","Daniel Lieberman","Business","Neighborhood","Downtown","Pike Place","Advocacy","Community group",,1,"85 Pike St #500",98101,"DON"
"Pinehurst Community Council","http://www.pinehurstseattle.org/pinehurst-community-council/","Address community issues","info@pinehurstseattle.org","206-659-5814",,"Community council","Neighborhood","North","Pinehurst","Advocacy","Community group",,0,,98125,"DPR"
"Pinehurst Seattle","http://www.pinehurstseattle.org/","Provide community news and information","info@pinehurstseattle.org","206-659-5814",,"Media","Neighborhood","North","Pinehurst","Information","Media",,,,98125,"Online"
"Pioneer Square Community Association","http://www.pioneersquare.org/","Promote a vibrant community in Pioneer Square","info@pioneersquare.org; craig@pioneersquare.org","206-667-0687","Craig Montgomery","Community council","Neighborhood","Downtown","Pioneer Square","Advocacy","Community group",,,"201 Yesler Way",98104,"DON"
"Pioneer Square Preservation Board","http://www.cityofseattle.net/neighborhoods/preservation/pioneersquare.htm","Preserve the history and architecture of Pioneer Square and promote revitalization",,,,"Social justice","History","Downtown","Pioneer Square","Advocacy","Community group",,0,,98104,"DPR"
"Pioneer Square Public Spaces Committee",,"Help plan wise policy for the public space in downtown","lisa@pioneersquare.org",,"Lisa Dixon","Environment","Neighborhood","Downtown","Pioneer Square","Advocacy","Community group",,0,,98104,"DPR"
"Planned Parenthood of the Great Northwest","http://www.plannedparenthood.org/ppgnw/","Provide high-quality, affordable reproductive health care for women, men and teens","ppinfo@ppgnw.org","206-328-7734",,"Social justice","Health; Women","Citywide",,"Service provider","Nonprofit",,"National","2001 E Madison St",98122,"DON"
"Pomegranate Center","http://www.pomegranate.org/","Creates neighborhood gathering places in dense or low-income neighborhoods","info@pomegranate.org","425-557-6412",,"Environment","Built environment; RSJ","Citywide",,"Service provider","Nonprofit",,4,"1400 NW Maple St, Issaquah ",98027,"DPR"
"Portage Bay/Roanoke Park Community Council",,"Support discussion of community issues like traffic","ted@thomaslaneassoc.com","206-329-2696","Ted Lane","Community council","Neighborhood","Lake Union","Eastlake","Advocacy","Community group",,0,"2600 Harvard Ave E",98102,"DON"
"Pottery Northwest: Claymobile","http://www.potterynorthwest.org/index.html","Provide ceramics classes and outreach","info@potterynorthwest.org","206-285-4421",,"Youth & family","Arts","Citywide",,"Education","Nonprofit",,3,"226 First Avenue N",98109,"DON"
"Power of Hope","http://www.powerofhope.org/","Provide arts-based experiential learning to teens from diverse cultural and socioeconomic backgrounds","joey@powerofhope.org","206-938-6090",,"Youth & family","Arts; RSJ","Citywide","South Seattle","Service provider","Nonprofit","People of color",7,"4408 Delridge Way SW, Suite 103",98106,"DPR"
"Powerful Voices","http://www.powerfulvoices.org/","Provide programs to foster girl empowerment in Seattle public middle schools and the juvenile justice system","info@powerfulvoices.org","206-860-1026",,"Youth & family","Women; Social justice; Homelessness","Citywide",,"Service provider","Nonprofit",,10,"1620 18th Ave Suite 100",98122,"DON"
"POWHat Neighborhood Association (Pine–Olive Way–Howell Area Triangle)",,"Address community issues","peregrin@isomedia.com","206-328-5326","Dennis Saxman","Community council","Neighborhood","East","Capitol Hill","Advocacy","Community group",,0,"1717 Bellevue Ave #205",98122,"DON"
"P-Patch Trust","http://www.ppatchtrust.org/","Acquire, build, preserve and protect community gardens that are accessible to all regardless of background","info@ppatchtrust.org","425-329-1601",,"Environment","Health","Citywide",,"Advocacy","Nonprofit",,0,"PO Box 19748",98109,"DPR"
"Pratt Fine Arts Center","http://www.pratt.org/","Provide resources to promote creativity and artistic engagement ","info@pratt.org","206-328-2200",,"Arts","Support","Central",,"Service provider","Nonprofit",,21,"1902 S Main St",98144,"DPR"
"Project HANDLE - Neighborhood House","http://www.nhwa.org/lookinside/program.php?program=Community+Health","Works with cultural organizations to prevent substance abuse, HIV-AIDS and other health issues facing immigrant communities","waryap@nhwa.org","206-461-4522","Warya Pothan","RSJ","Health; Substance abuse","East",,"Education","Nonprofit","Asian",6,"905 Spruce St Suite 200",98104,"DPR"
"Providence Elizabeth House","http://www2.providence.org/kingcounty/facilities/providence-elizabeth-house/Pages/default.aspx","Provides subsidized housing for low-income people over 62","therese.jensen@providence.org","206-938-3276","Therese Jensen","Social justice","Seniors","Southwest",,"Service provider","Nonprofit",,15,"3201 SW Graham",98126,"DPR"
"Puget Ridge Neighborhood Council",,"Address community issues",,,"Katie Kauffman","Community council","Neighborhood","Delridge","Puget Ridge","Advocacy","Community group",,0,"6559 18th Ave SW",98106,"DON"
"Puget Sound Maritime Historical Society","http://pugetmaritime.org/","Create appreciation of the Puget Sound region’s maritime past in order to better understand the present","president@pugetmaritime.org","206-324-1685 ext 41",,"Social justice","History","Citywide",,"Education","Nonprofit",,1,"2700 24th Ave E",98112,"DPR"
"Queen Anne Chamber of Commerce","http://www.qachamber.org/","Make a safer, better and more prosperous community","contact@qachamber.org","206-283-6876   ",,"Business","Neighborhood","Magnolia/Queen Anne","Queen Anne","Advocacy","Community group",,0,"160 Roy St Suite 100",98109,"DPR"
"Queen Anne Community Center Advisory Council","http://www.cityofseattle.net/Parks/centers/queenannecc.htm","Advise the city on how best to serve the Queen Anne community","chancm3@gmail.com","206-386-4240","Carolyn Chan","Community council","Neighborhood","Magnolia/Queen Anne","Magnolia","Advocacy","Community group",,,"1901 1st Ave W",98119,"DON"
"Queen Anne Community Council","http://qacc.net/","Provide a forum for community development","elmonrad@gmail.com",,"Ellen Monrad","Community council","Neighborhood","Magnolia/Queen Anne","Queen Anne","Advocacy","Community group",,0,"1818 1st Ave W",98199,"DON"
"Queen Anne Community Council Land Use Committee","http://qacc.net/lurc.htm","Advise the Queen Anne community council on how best to use and preserve land","CHanway@qacc.net",,"Craig Hanway","Environment","Neighborhood","Magnolia/Queen Anne","Queen Anne","Advocacy","Community group",,0,,98199,"DPR"
"Queen Anne Community Council Parks Committee","http://qacc.net/parks.htm","Advocates issues important to parks users such as development of new parks, improvement of existing parks, and preservation of green spaces, trees, and historic boulevards","dharper@qacc.net",,"Don Harper","Environment","Neighborhood","Magnolia/Queen Anne","Queen Anne","Advocacy","Community group",,0,,98119,"DPR"
"Queen Anne Design Review Board","http://www.seattle.gov/dpd/Planning/Design_Review_Program/Who_We_Are/Boards/DPD_001379.asp","Review neighborhood private development projects to improve design and communication",,,,"Community council","Planning","Magnolia/Queen Anne","Queen Anne","Advocacy","Community group",,,,98199,"DPR"
"Queen Anne Helpline Board","http://queenannehelpline.org/","Promote dignity, self-respect, hope, and independence for our neighbors by providing supportive social services to those who need assistance","qahl@queenannehelpline.org; queenannehl@aol.com","206-282-1540","Patricia Sobeck","Media","Social justice","Magnolia/Queen Anne","Queen Anne","Information","Media",,1,"311 W McGraw St",98109,"DON"
"Queen Anne Historical Society","http://qahistory.org/","Preserve the community's heritage through meetings and events","help@qahistory.org",,,"Social justice","History","Magnolia/Queen Anne","Queen Anne","Service provider","Community group",,0,"PO Box 19432",98109,"DPR"
"Queen Anne View","http://www.queenanneview.com/","Provide community news and information","tips@queenanneview.com",,"Thea Chard","Media","Neighborhood","Magnolia/Queen Anne","Queen Anne","Information","Media",,,,98109,"DOIT"
"Ragamala","http://www.ragamala.org/","Advance the traditional performing arts of South Asia through exceptional programming ","Website",,,"Arts","RSJ","Citywide",,"Service provider","Community group","Asian",0,,,"DPR"
